agency_id,route_color,route_desc,route_id,route_long_name,route_short_name,route_text_color,route_type,route_url
nmbssncb,016AB3,"",gr:nmbssncb:797,Brussels Airport-Zaventem -- Lede,IC,FFFFFF,2,""
nmbssncb,212677,"",gr:nmbssncb:798,Termonde -- Grammont,S3,FFFFFF,2,""
nmbssncb,212677,"",gr:nmbssncb:799,Bruxelles-Midi -- Termonde,S3,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:8,Tournai -- Courtrai,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:80,Ostende -- Roulers,IC,FFFFFF,2,""
nmbssncb,212677,"",gr:nmbssncb:800,Hal -- Denderleeuw,S3,FFFFFF,2,""
nmbssncb,212677,"",gr:nmbssncb:801,Enghien -- Denderleeuw,S3,FFFFFF,2,""
nmbssncb,212677,"",gr:nmbssncb:802,Termonde -- Denderleeuw,S3,FFFFFF,2,""
nmbssncb,212677,"",gr:nmbssncb:803,Bruxelles-Nord -- Denderleeuw,S3,FFFFFF,2,""
nmbssncb,212677,"",gr:nmbssncb:804,Bruxelles-Nord -- Grammont,S3,FFFFFF,2,""
nmbssncb,212677,"",gr:nmbssncb:805,Denderleeuw -- Iddergem,S3,FFFFFF,2,""
nmbssncb,212677,"",gr:nmbssncb:806,Bruxelles-Nord -- Enghien,S3,FFFFFF,2,""
nmbssncb,212677,"",gr:nmbssncb:807,Bruxelles-Midi -- Denderleeuw,S3,FFFFFF,2,""
nmbssncb,212677,"",gr:nmbssncb:808,Termonde -- Iddergem,S3,FFFFFF,2,""
nmbssncb,212677,"",gr:nmbssncb:809,Jette -- Bruxelles-Midi,S3,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:81,Opwijk -- Termonde,L,FFFFFF,2,""
nmbssncb,212677,"",gr:nmbssncb:810,Schaerbeek -- Denderleeuw,S3,FFFFFF,2,""
nmbssncb,212677,"",gr:nmbssncb:811,Hal -- Termonde,S3,FFFFFF,2,""
nmbssncb,212677,"",gr:nmbssncb:812,Enghien -- Termonde,S3,FFFFFF,2,""
nmbssncb,212677,"",gr:nmbssncb:813,Bruxelles-Nord -- Termonde,S3,FFFFFF,2,""
nmbssncb,212677,"",gr:nmbssncb:814,Termonde -- Sint-Gillis,S3,FFFFFF,2,""
nmbssncb,212677,"",gr:nmbssncb:815,Enghien -- Grammont,S3,FFFFFF,2,""
nmbssncb,212677,"",gr:nmbssncb:816,Hal -- Grammont,S3,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:817,Brussels Airport-Zaventem -- Courtrai,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:818,Brussels Airport-Zaventem -- Denderleeuw,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:819,Brussels Airport-Zaventem -- Audenarde,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:82,Ostende -- Lichtervelde,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:820,Brussels Airport-Zaventem -- Zottegem,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:821,Brussels Airport-Zaventem -- Ostende,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:822,Ostende -- Anzegem,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:823,Brussels Airport-Zaventem -- Bruges,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:824,Brussels Airport-Zaventem -- Lichtervelde,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:825,Bruxelles-Midi -- Denderleeuw,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:826,Ostende -- Welle,IC,FFFFFF,2,""
